"","type","name","label","hint","required","relevant","appearance","constraint","constraint_message","choice_filter","calculation","kuid","repeat_count"
"445","select_multiple not_satisfied","not_satisfied","If you were not satisfied what was the reason?","Haddii aad ku qanacsan tahay adeega aad heshay, waa maxay sababta?","true","selected(${received_assistance},'yes') and selected(${aid_satisfaction},'no')","","not(selected(.,""dontknow"") and (selected(.,""not_enough"") or selected(.,""wrong_need"") or selected(.,""low_quality"") or selected(.,""tension_hh"")))","Cannot select 'I donï¿½t know/ I donï¿½t want to answer' with any other option","","",NA,""
"446","select_one y_n_dk","aid_violence","Do you know of any time that delivery of humanitarian assistance has caused conflict or violence in the community? ","Ma jirtaa xilli ay dhacday in kaalmada/caawinaada ay sabab u aheyd isku dhac ama xad gudub ka dhex dhacay bulshada dhexdeeda?","true","","","","","","",NA,""
"447","select_multiple assistance_types","aid_violence_types","If yes, which types of assisstance? ","Sheeg nooca kaalmada/caawinaada?","true","selected(${aid_violence},'yes')","","not(selected(.,""none"") and (selected(.,""food"") or selected(.,""food_voucher"") or selected(.,""food_cash"") or selected(.,""nfis"") or selected(.,""nfis_cash"") or selected(.,""shelter_materials"") or selected(.,""shelter_cash"") or selected(.,""shelter_training"") or selected(.,""uncond_cash"") or selected(.,""tvet"") or selected(.,""livelihood_cash"") or selected(.,""water_voucher"") or selected(.,""water_treatment"") or selected(.,""hygiene_kits"") or selected(.,""legal_assistance"") or selected(.,""eviction_support"") or selected(.,""hlp_training"") or selected(.,""hlp_information"") or selected(.,""support_elderly"") or selected(.,""support_disabled"") or selected(.,""psychosocial_support"")))","Cannot select 'None of the above' with any other option","","",NA,""
"448","select_one y_n_dk","savings_assoc","Have you accessed a savings and loans association in the last 6 months","6-dii bilood ee lasoo dhaafay, ma heshay wax barnaamij amaahasho ah ama dhigasho ah?","true","","","","","","",NA,""
"449","end_group","","","","","","","","","","",NA,""
"450","end_group","","","","","","","","","","",NA,""
"451","begin_group","L","Communication","Wada hadalka iyo xiriirka","","","","","","","",NA,""
"452","begin_group","languages","Languages","Luuqadaha","","","field-list","","","","",NA,""
"453","select_multiple language","mother_tongue","Which of the following languages is your mother tongue?","Luuqadee/ Afkee ayaa ah afkaaga hooyo?","true","","minimal","not(selected(.,'none'))","Must have a mother tongue","","",NA,""
"454","select_multiple language","language_spoken","Which of the following languages are spoken by at least one member of the household?","Qof qoyskiina kamid ah oo kuhadlo majiraa luuqadahaan soo socda mid kamid ah?","true","","minimal","not(selected(.,'none') and count-selected(.) >1)","Cannot select 'none' and any other option","","",NA,""
"455","select_multiple language","language_read","Which of the following languages can be read by at least one member of the household?","Qof qoyskiina kamid ah teebuu aqrin karaa luuqadahaan soo socda?","true","","minimal","not(selected(.,'none') and count-selected(.) >1)","Cannot select 'none' and any other option","","",NA,""
"456","select_multiple language","language_written","Which of the following languages can be written by at least one member of the household?","Qof qoyskiina kamid ah teebuu qori karaa luuqadahaan soo socda?","true","","minimal","not(selected(.,'none') and count-selected(.) >1)","Cannot select 'none' and any other option","","",NA,""
"457","select_one language","language_preferred","Which of the following languages would you prefer to receive humanitarian information in?","Luuqadee/ Afkee door bidaysaan inaad ku heshaan xogta la xiriirto gargaarka bani'aadanimo?","true","","minimal","","","","",NA,""
"458","end_group","languages","","","","","","","","","",NA,""
"459","begin_group","information","Information needs and Sources","Baahida xogta iyo ilaha","","","","","","","",NA,""
"460","select_one yes_no","info_received","Do you receive sufficient information on services from humanitarian workers?","Xog buuxda maka heshaa adeega aay bixiyaan shaqaalaha gargaarka?","true","","","","","","",NA,""
"461","select_multiple info_sources","trusted_info_sources","What are the 3 most trusted information sources that your household relies on? (do not read options)","Sadexda meelood oo xogta aay ku qanacsanyihiin qoyskiina aay kahelaan waa xagee?","true","","","count-selected(.)<=3 and not(selected(.,'none') and (selected(.,'friends_family') or selected(.,'religious_leader') or selected(.,'military') or selected(.,'tv') or selected(.,'govt_official') or selected(.,'community_leader') or selected(.,'aid_worker') or selected(.,'radio')))","Select up to 3 choices and cannot select 'none' and any other choice","","",NA,""
"462","text","trusted_info_sources_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${trusted_info_sources},'other')","","","","","",NA,""
"463","select_multiple info_channels","info_channels","What are the 3 preferred channels for receiving information used by the household right now? (do not read options)","Sedaxda ila wareyd oo xog lagu kalsoonaan karo uu qoyskiina kahelo hada waa xagee?","true","","","count-selected(.)<=3 and not(selected(.,'none') and count-selected(.) >1)","Select up to 3 choices and cannot select 'none' and any other choice","","",NA,""
"464","text","info_channels_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${info_channels},'other')","","","","","",NA,""
"465","select_multiple information_needs","information_needs","What are the most important information needs for your household right now? (do not read options) Information about:","Xogta aad ugu muhiimsan oo uu ubaahnaan lahaa qoyskiina helitaankeda maxay tahay hada?","true","","","count-selected(.)<=5","Select up to 5","","",NA,""
"466","text","information_needs_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${information_needs},'other')","","","","","",NA,""
"467","select_one yes_no","access_radio","Does your household have access to a functioning radio?","Qoyskiina fursad ma uhelaa idaacad inuu kahadlo?","true","","","","","","",NA,""
"468","select_one yes_no","access_phone","Does your household have access to a smart phone?","Qoyskaaga ma hesyta telefoonada casriga ah (smartphone)?","true","","","","","","",NA,""
"469","end_group","","","","","","","","","","",NA,""
"470","end_group","","","","","","","","","","",NA,""
"471","begin repeat","C_loop","Child loop","","","${children_0_4}>0","","","","","",NA,"${children_0_4}"
"472","note","note_muac","You have indicated that you have ${children_0_4} children aged between 0 and 4. We would like to screen each child for malnutrition","Waxaad ii sheegtay in qoyskaaga joogaan ${children_0_4} caruur da'doodu tahay 0 ilaa 4 sano jir ah. Waxaan rabaa inaan cabiro xaalada nafaqo ee cunug walba","false","","","","","","",NA,""
"473","integer","child_age","What is the age of the assessed child? (in months)","Sheeg da'da (bil ahaan) cunuga la cabirayo?","true","","",". >6 and . <=59","Child age should be in between 6 to 59 months","","",NA,""
"474","select_one male_female","child_gender","What is the gender of the child?","Sheeg jinsiga cunuga la cabirayo?","true","","","","","","",NA,""
"475","decimal ","muac_measurements","Please measure the nutritional status of child by using the MUAC measurement tool, and write the appropriate answer:","Fadlan cabir xaalada nafaqo ee canuga adigoo adeegsanaya xariga MUAC@","true","${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}>0","none",". >4.9 and . <=25.9","Should be above 4.9 and below 26","","",NA,""
"476","select_one yes_no","oedema","Is there bilateral pitting oedema?","Ma jiraan wax bararka nafaqo darada ah?","true","","","","","","",NA,""
"477","select_one yes_no","child_muac_treatment","Is the child receiving any malnutrition treatment?","Canuga wax daawo nafaqo daro ma qaadanayaa?","true","${muac_measurements}<=12.5 or selected(${oedema},'yes')","","","","","",NA,""
"478","end repeat","","","","","","","","","","",NA,""
"479","select_one yes_no","resp_contact_details","Are you able to provide us your contact details so as to contact you if you we would require further clarification on some of your answers? Please note that we will not share your contact information to anyone else.","Ma inoo sheegi kartaa telefoonkaaga iyo magacaaga si aan kugula soo xiriirno haddii aan u baahano inaan faahfaahin dheeri ah kaa weydiino jawaabaha aad ka bixisay su'aalaha qaarkood. Fadlan ogow inaan qof kale la siin doonin telefoonkaaga iyo magacaaga","true","","","","","","",NA,""
"480","text","resp_name","What is the full name of the respondent?","Sheeg magaca buuxa ee qofka kuu jawaabaya?","true","selected(${resp_contact_details},'yes')","","","","","",NA,""
"481","text","resp_contact_numb","What is your primary phone number?","Sheeg telefoonka qofka kuu jawaabaya? Telefoonka uu qofka mar walba isticmaalo.","true","selected(${resp_contact_details},'yes')","numbers","regex(., '^[0]{1}[0-9]{9}$')","Shoud be 10 digits and starts with 0","","",NA,""
"482","begin_group","M","End of interview","DHAMAADKA WAREYSIGA","","","","","","","",NA,""
"483","note","end_note","We have reached the end of the interview. Thank you for taking the time to talk to us today.","Wareysiga wuu inoo dhamaaday. Aad baad ugu mahadsan tahay waqtigaaga!","false","","","","","","",NA,""
"484","geopoint","gps","Please take the GPS coordinates of your location with accuracy up to 10 metres","Fadlan qaad GPS-ka goobta aad warbixinta ka aruurineysid. Sug inta uu ka dhameenayo GPS-ka uu gaarayo ilaa 10 mitir","true","","","","","","",NA,""
"485","end_group","","","","","","","","","","",NA,""
"486","select_one population_status","population_group","Population group","","","","","","","","",NA,""
"487","select_one ranking_FCS","FCS_ranking","Food Consumption Score","","","","","","","","",NA,""
"488","select_one ranking_HDDS","HDDS_ranking","Household Dietary Diversity Score","","","","","","","","",NA,""
"489","select_one ranking_HHS","HHS_ranking","Household Hunger Score","","","","","","","","",NA,""
"490","select_one house_age_dependent","household_age_dependent","Household Age dependent","","","","","","","","",NA,""
"491","select_one female_headedhousehold","female_headed_household","Female headed household","","","","","","","","",NA,""
"492","select_one child_headedhousehold","child_headed_household","Child headed household","","","","","","","","",NA,""
"493","select_one house_plw_dc","household_plw_disable_chronic","Household with Pregnant-Lactating woman, disabled or chronic disease","","","","","","","","",NA,""
"494","select_one group_length_displacement","length_displacement_group","Length of displacement category","","","","","","","","",NA,""
"495","select_one severity","protection_PIN_severity","Severity need for protection","","","","","","","","",NA,""
"496","select_one severity","nfi_PIN_severity","Severity need for nfi","","","","","","","","",NA,""
"497","select_one severity","wash_PIN_severity","Severity need for wash","","","","","","","","",NA,""
"498","select_one severity","health_PIN_severity","Severity need for health","","","","","","","","",NA,""
"499","select_one severity","education_PIN_severity","Severity need for education","","","","","","","","",NA,""
"500","select_one severity","PIN_severity","Severity need for PIN","","","","","","","","",NA,""
"501","select_one district_local","district_localadmin","Local district administrative boundaries","","","","","","","","",NA,""
"502","select_one district_ocha","district_ocha","OCHA district administrative boundaries","","","","","","","","",NA,""
"503","select_one region_local","region_localadmin","Local region administrative boundaries","","","","","","","","",NA,""
"504","select_one region_ocha","region_ocha","OCHA region administrative boundaries","","","","","","","","",NA,""
"505","select_one state_ocha","stateocha","OCHA state administrative boundaries","","","","","","","","",NA,""
"506","select_one seven_states","X7states","Seven states administrative boundaries","","","","","","","","",NA,""
